Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-08-29,675.25,677.67,672.6,673.466,7243100.0,0.0,1.0,87.149510592561,87.461842048517,86.807494742031,86.919262940733,50701700.0
2012-08-30,670.64,671.554,662.853,663.868,10810700.0,0.0,1.0,86.554532075224,86.672495278011,85.549521725007,85.680520248889,75674900.0
2012-08-31,667.25,668.6,657.25,665.24,12082900.0,0.0,1.0,86.117009911716,86.291244401609,84.82638406066,85.857594115654,84580300.0
2012-09-04,665.76,675.14,664.5,674.97,13139000.0,0.0,1.0,85.924706659909,87.135313708199,85.762087802676,87.113373068732,91973000.0
2012-09-05,675.57,676.35,669.6,670.23,12013400.0,0.0,1.0,87.190810619795,87.291479436177,86.420306986714,86.501616415331,84093800.0
2012-09-06,673.17,678.29,670.8,676.27,13971300.0,0.0,1.0,86.881060415541,87.541860851282,86.575182088841,87.281154429369,97799100.0
2012-09-07,678.05,682.48,675.77,680.44,11773800.0,0.0,1.0,87.510885830857,88.082633082875,87.216623136816,87.819345409259,82416600.0
2012-09-10,680.45,683.29,662.1,662.74,17428500.0,0.0,1.0,87.82063603511,88.18717377681,85.452337598422,85.53493765289,121999500.0
2012-09-11,665.11,670.1,656.5,660.59,17999400.0,0.0,1.0,85.84081597959,86.484838279267,84.729587121831,85.257453094913,125995800.0
2012-09-12,666.85,669.9,656.0,669.79,25436900.0,0.0,1.0,86.065384877674,86.459025762246,84.665055829278,86.444828877884,178058300.0
2012-09-13,677.37,685.5,674.77,682.98,21370000.0,0.0,1.0,87.423123272985,88.472402089894,87.08756055171,88.147164375427,149590000.0
2012-09-14,689.955,696.98,687.89,691.28,21445500.0,0.0,1.0,89.047375906539,89.954040566906,88.780861668296,89.218383831804,150118500.0
2012-09-17,699.35,699.8,694.61,699.781,14215400.0,0.0,1.0,90.259918893606,90.317997056904,89.648162240206,90.315544867787,99507800.0
2012-09-18,699.88,702.33,696.42,701.91,13339400.0,0.0,1.0,90.328322063712,90.644525397221,89.881765519247,90.590319111477,93375800.0
